总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型,区,板块,楼层位置,总楼层数,室数,厅数,厨数,卫数,人均面积,楼层密度,厅室比,卫室比,总房间数,单价等级,面积等级,区域均价,区域中位价,区域价格标准差,区域房源数,相对价格指数
225万,20838元/平米,明辰紫月西区,鄞州区 新明,3室1厅1厨1卫,中楼层 (共7层),107.98㎡,平层,,板楼,南 北,钢混结构,精装,一梯两户,无,2023-09-17,商品房,2023-09-21,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202307053302120043,,,,,鄞州区,新明,中楼层,7,3,1,1,1,26.995,13.4975,0.25,0.25,5,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8297170358585467
261万,19501元/平米,盛世华城,海曙区 古林,3室1厅1厨2卫,高楼层 (共18层),133.84㎡,平层,,板塔结合,南,钢混结构,精装,两梯三户,有,2023-08-17,商品房,2023-08-17,普通住宅,未满两年,共有,有抵押 280万元 业主自还,已上传房本照片,202301293302030039,,,,,海曙区,古林,高楼层,18,3,1,1,2,33.46,7.04421052631579,0.25,0.5,6,2,3,2048187.9432624113,1840000.0,968698.6620355729,564,1.2742964991514507
100万,8200元/平米,天澜湾花苑,杭州湾新区 杭州湾新区,3室2厅1厨2卫,中楼层 (共17层),121.96㎡,平层,,板楼,南,钢混结构,毛坯,一梯两户,有,2023-05-30,商品房,2021-11-11,普通住宅,未满两年,共有,有抵押 70万元 工行 业主自还,已上传房本照片,,,,,,杭州湾新区,杭州湾新区,中楼层,17,3,2,1,2,30.49,6.775555555555555,0.5,0.5,7,0,2,853969.1358024691,830000.0,286526.62766007404,162,1.1710011370131905
223万,17617元/平米,锦山府四期,余姚市 第二实验,4室2厅1厨2卫,中楼层 (共11层),126.47㎡,平层,,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2023-04-30,商品房,2023-04-30,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202304303302810013,,,,,余姚市,第二实验,中楼层,11,4,2,1,2,25.294,10.539166666666667,0.4,0.4,8,1,2,1752745.7627118644,1620000.0,866516.1238370968,59,1.2711476908123451
82万,9269元/平米,碧桂园都荟名邸,余姚市 余姚周边,3室2厅1厨1卫,中楼层 (共17层),88.47㎡,平层,,板楼,南,钢混结构,毛坯,一梯四户,暂无数据,2023-04-07,商品房,2023-04-07,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202304073302810031,,,,,余姚市,余姚周边,中楼层,17,3,2,1,1,22.1175,4.915,0.5,0.25,6,0,1,1752745.7627118644,1620000.0,866516.1238370968,59,0.46783712139413064
160万,20962元/平米,锦棠佳苑,海曙区 段塘,2室1厅1厨1卫,中楼层 (共18层),76.33㎡,平层,,板塔结合,南,钢混结构,毛坯,一梯两户,暂无数据,2023-03-04,拆迁安置房,2023-03-16,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202303163302030084,,,,,海曙区,段塘,中楼层,18,2,1,1,1,25.44333333333333,4.017368421052631,0.3333333333333333,0.3333333333333333,4,2,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.7811779305142993
252万,28233元/平米,万科传奇里,鄞州区 潘火,3室1厅1厨1卫,低楼层 (共33层),89.26㎡,平层,,板楼,南,钢混结构,精装,两梯四户,有,2023-09-03,商品房,2023-09-05,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202309053302120092,,,,,鄞州区,潘火,低楼层,33,3,1,1,1,22.315,2.625294117647059,0.25,0.25,5,3,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.9292830801615724
86万,6127元/平米,清芷园,杭州湾新区 杭州湾新区,3室2厅1厨2卫,低楼层 (共33层),140.38㎡,平层,107.93㎡,板楼,南,钢混结构,简装,两梯四户,有,2023-09-15,商品房,2023-09-19,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,,,,杭州湾新区,杭州湾新区,低楼层,33,3,2,1,2,35.095,4.128823529411765,0.5,0.5,7,0,3,853969.1358024691,830000.0,286526.62766007404,162,1.0070609778313437
80万,9164元/平米,栖湖尚府,慈溪市 龙山,3室1厅1厨2卫,高楼层 (共18层),87.30㎡,平层,,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2023-04-14,商品房,2023-06-30,普通住宅,未满两年,非共有,有抵押,已上传房本照片,202309013302820008,,,,,慈溪市,龙山,高楼层,18,3,1,1,2,21.825,4.594736842105263,0.25,0.5,6,0,1,1587584.9056603773,1450000.0,685073.8431271552,53,0.5039097394022464
520万,37885元/平米,逸树园,鄞州区 新明,4室2厅1厨2卫,低楼层 (共15层),137.26㎡,平层,,板塔结合,南,未知结构,精装,一梯两户,暂无数据,2021-05-03,商品房,2021-12-24,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202112053302120009,,,,,鄞州区,新明,低楼层,15,4,2,1,2,27.451999999999998,8.57875,0.4,0.4,8,4,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.9175682606508637
465万,33406元/平米,天合家园,江北区 江北万达,4室2厅1厨2卫,中楼层 (共9层),139.20㎡,平层,,板楼,南,钢混结构,精装,一梯两户,无,2023-08-13,商品房,2023-08-13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202308133302050013,,,,,江北区,江北万达,中楼层,9,4,2,1,2,27.839999999999996,13.919999999999998,0.4,0.4,8,3,3,2374983.935742972,2080000.0,1266402.7666910856,249,1.9579071555438434
316万,27778元/平米,嘉苑广场,鄞州区 新明,3室2厅1厨1卫,中楼层 (共22层),113.76㎡,平层,,板楼,南,钢混结构,精装,两梯四户,有,2023-07-10,商品房,2023-07-10,普通住宅,未满两年,共有,无抵押,已上传房本照片,202208093302120042,,,,,鄞州区,新明,中楼层,22,3,2,1,1,28.44,4.946086956521739,0.5,0.25,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.165291481472448
228万,22530元/平米,聪园锦里,镇海区 招宝山,3室2厅1厨1卫,低楼层 (共18层),101.20㎡,平层,,塔楼,南,钢混结构,毛坯,两梯四户,有,2023-09-12,拆迁安置房,2023-09-22,普通住宅,未满两年,共有,无抵押,已上传房本照片,202309263302110030,,,,,镇海区,招宝山,低楼层,18,3,2,1,1,25.3,5.326315789473685,0.5,0.25,6,2,2,2173067.729083665,1990000.0,977382.160362272,251,1.0492074960562454
145万,15860元/平米,宁南新城盈园,奉化区 方桥,3室2厅1厨1卫,中楼层 (共18层),91.43㎡,平层,,板塔结合,南,钢混结构,精装,两梯四户,有,2023-05-23,商品房,2023-05-23,普通住宅,未满两年,共有,无抵押,已上传房本照片,202305233302830008,,,,,奉化区,方桥,中楼层,18,3,2,1,1,22.8575,4.812105263157895,0.5,0.25,6,1,1,1278558.8235294118,1290000.0,384450.8928659952,68,1.1340885059232775
92万,6545元/平米,汀香苑,杭州湾新区 杭州湾新区,3室2厅1厨2卫,高楼层 (共33层),139.96㎡,平层,104.63㎡,板楼,南,钢混结构,简装,两梯两户,有,2023-06-02,商品房,2023-06-06,普通住宅,未满两年,非共有,有抵押 48万元 浦发银行 客户偿还,已上传房本照片,20230606330282010011,,,,,杭州湾新区,杭州湾新区,高楼层,33,3,2,1,2,34.99,4.116470588235295,0.5,0.5,7,0,3,853969.1358024691,830000.0,286526.62766007404,162,1.0726370415040825
390万,32998元/平米,融创东投悦之湾,鄞州区 高新区,3室2厅1厨2卫,高楼层 (共18层),118.19㎡,平层,91.73㎡,板楼,东南 南,钢混结构,精装,两梯两户,有,2023-02-23,商品房,2023-03-01,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202303013302120087,,,,,鄞州区,高新区,高楼层,18,3,2,1,2,29.5475,6.220526315789473,0.5,0.5,7,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.4381761954881478
278万,22422元/平米,绿地观堂花苑,海曙区 高桥,3室2厅1厨2卫,高楼层 (共20层),123.99㎡,平层,,板楼,南,框架结构,毛坯,一梯四户,暂无数据,2023-08-16,商品房,2023-08-20,普通住宅,未满两年,共有,无抵押,已上传房本照片,202308203302030012,,,,,海曙区,高桥,高楼层,20,3,2,1,2,30.9975,5.904285714285714,0.5,0.5,7,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.357296654268595
232万,23154元/平米,绿地观堂花苑,海曙区 高桥,3室2厅1厨2卫,高楼层 (共20层),100.20㎡,平层,,板楼,东 南,框架结构,毛坯,两梯四户,有,2023-06-28,商品房,2023-06-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202306273302030014,,,,,海曙区,高桥,高楼层,20,3,2,1,2,25.05,4.771428571428571,0.5,0.5,7,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.132707999245734
223万,17617元/平米,锦山府四期,余姚市 第二实验,4室2厅1厨2卫,中楼层 (共11层),126.47㎡,平层,,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2023-04-30,商品房,2023-04-30,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202304303302810013,,,,,余姚市,第二实验,中楼层,11,4,2,1,2,25.294,10.539166666666667,0.4,0.4,8,1,2,1752745.7627118644,1620000.0,866516.1238370968,59,1.2711476908123451
82万,9269元/平米,碧桂园都荟名邸,余姚市 余姚周边,3室2厅1厨1卫,中楼层 (共17层),88.47㎡,平层,,板楼,南,钢混结构,毛坯,一梯四户,暂无数据,2023-04-07,商品房,2023-04-07,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202304073302810031,,,,,余姚市,余姚周边,中楼层,17,3,2,1,1,22.1175,4.915,0.5,0.25,6,0,1,1752745.7627118644,1620000.0,866516.1238370968,59,0.46783712139413064
100万,9092元/平米,锦绣金珑悦府,慈溪市 龙山,3室2厅1厨2卫,高楼层 (共31层),109.99㎡,平层,,暂无数据,南 北,未知结构,毛坯,一梯四户,暂无数据,2023-02-22,商品房,2023-05-31,普通住宅,未满两年,非共有,有抵押,已上传房本照片,202305313302820022,,,,,慈溪市,龙山,高楼层,31,3,2,1,2,27.4975,3.4371875,0.5,0.5,7,0,2,1587584.9056603773,1450000.0,685073.8431271552,53,0.6298871742528079
275万,22034元/平米,印悦里,海曙区 高桥,4室2厅1厨2卫,低楼层 (共18层),124.81㎡,平层,,暂无数据,南,钢混结构,精装,一梯一户,有,2022-09-17,商品房,2022-09-17,普通住宅,未满两年,非共有,有抵押,已上传房本照片,202303173302030016,,,,,海曙区,高桥,低楼层,18,4,2,1,2,24.962,6.568947368421052,0.4,0.4,8,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.3426495680714519
92万,11363元/平米,万科未来水岸,奉化区 奉化区,2室2厅1厨1卫,低楼层 (共20层),80.97㎡,平层,,板楼,南 北,钢混结构,精装,两梯三户,有,2023-01-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,202209203302830007,,,,,奉化区,奉化区,低楼层,20,2,2,1,1,26.99,3.855714285714286,0.6666666666666666,0.3333333333333333,5,0,1,1278558.8235294118,1290000.0,384450.8928659952,68,0.7195596037582175
136万,11158元/平米,滕上花开,奉化区 奉化区,4室2厅1厨2卫,高楼层 (共9层),121.89㎡,平层,,暂无数据,南 北,未知结构,精装,一梯四户,暂无数据,2023-07-16,商品房,2023-04-18,普通住宅,未满两年,非共有,有抵押 业主自还,已上传房本照片,202307163302830001,,,,,奉化区,奉化区,高楼层,9,4,2,1,2,24.378,12.189,0.4,0.4,8,0,2,1278558.8235294118,1290000.0,384450.8928659952,68,1.0636968055556257
328万,24904元/平米,东海花园,鄞州区 福明,4室2厅1厨2卫,中楼层 (共11层),131.71㎡,平层,,板楼,南,钢混结构,精装,一梯两户,有,2021-11-16,商品房,2021-11-16,普通住宅,未满两年,共有,有抵押 200万元,已上传房本照片,202111163302120046,,,,,鄞州区,福明,中楼层,11,4,2,1,2,26.342000000000002,10.975833333333334,0.4,0.4,8,2,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.209543056718237
225万,19833元/平米,翰香景庭,镇海区 庄市,3室2厅1厨2卫,高楼层 (共18层),113.45㎡,平层,,板楼,南,钢混结构,精装,两梯两户,有,2023-07-22,商品房,2023-07-23,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202211073302110014,,,,,镇海区,庄市,高楼层,18,3,2,1,2,28.3625,5.971052631578948,0.5,0.5,7,2,2,2173067.729083665,1990000.0,977382.160362272,251,1.0354021342660318
145万,20406元/平米,锦绣钱湖,鄞州区 东钱湖,2室1厅1厨1卫,高楼层 (共11层),71.06㎡,平层,,板楼,南 北,钢混结构,精装,一梯两户,有,2023-02-26,商品房,2023-02-27,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202207233302120041,,,,,鄞州区,东钱湖,高楼层,11,2,1,1,1,23.686666666666667,5.921666666666667,0.3333333333333333,0.3333333333333333,4,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.5347065342199524
230万,18970元/平米,丁山华庭,北仑区 霞浦,3室2厅1厨2卫,高楼层 (共17层),121.25㎡,平层,90.83㎡,平房,南,框架结构,毛坯,一梯两户,暂无数据,2023-09-07,商品房,2023-04-06,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202309083302060001,,,,,北仑区,霞浦,高楼层,17,3,2,1,2,30.3125,6.736111111111111,0.5,0.5,7,1,2,1875364.5484949832,1800000.0,855438.6591359673,299,1.2264275633333428
415万,32111元/平米,万科蓝色东方,镇海区 庄市,4室2厅1厨2卫,中楼层 (共18层),129.24㎡,平层,102.00㎡,板楼,南,钢混结构,精装,一梯两户,有,2023-06-02,商品房,2023-06-12,普通住宅,未满两年,非共有,有抵押 100万元,已上传房本照片,202306123302110022,,,,,镇海区,庄市,中楼层,18,4,2,1,2,25.848000000000003,6.8021052631578955,0.4,0.4,8,3,3,2173067.729083665,1990000.0,977382.160362272,251,1.909741714312903
172万,22514元/平米,九曲小区三期,鄞州区 首南,2室2厅1厨1卫,高楼层 (共16层),76.40㎡,平层,,暂无数据,南,未知结构,毛坯,两梯四户,有,2022-10-03,拆迁安置房,2023-06-15,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202209273302120098,,,,,鄞州区,首南,高楼层,16,2,2,1,1,25.46666666666667,4.4941176470588236,0.6666666666666666,0.3333333333333333,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.634272578522978
133万,9128元/平米,得发花园,余姚市 长安,3室1厅1厨1卫,高楼层 (共6层),145.72㎡,平层,,板楼,南,砖混结构,简装,一梯两户,无,2023-06-24,商品房,2023-06-24,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202108293302810006,,,,,余姚市,长安,高楼层,6,3,1,1,1,36.43,20.81714285714286,0.25,0.25,5,0,3,1752745.7627118644,1620000.0,866516.1238370968,59,0.758808989578285
155万,17334元/平米,筑香澜庭,北仑区 新碶,2室1厅1厨1卫,高楼层 (共18层),89.42㎡,平层,,暂无数据,南,未知结构,其他,一梯两户,暂无数据,2023-10-01,商品房,2023-07-07,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202307083302060017,,,,,北仑区,新碶,高楼层,18,2,1,1,1,29.80666666666667,4.706315789473685,0.3333333333333333,0.3333333333333333,4,1,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.8265055318116005
97万,6036元/平米,玫瑰花园,北仑区 戚家山,3室2厅1厨2卫,中楼层 (共11层),160.72㎡,平层,,板楼,东南,混合结构,简装,一梯三户,有,2023-07-14,商品房,2023-09-14,普通住宅,未满两年,非共有,无抵押,已上传房本照片,201909293302060038,,,,,北仑区,戚家山,中楼层,11,3,2,1,2,40.18,13.393333333333333,0.5,0.5,7,0,3,1875364.5484949832,1800000.0,855438.6591359673,299,0.5172324941014532
118万,19472元/平米,启文花园西区,海曙区 段塘,3室1厅1厨1卫,高楼层 (共7层),60.60㎡,平层,,板楼,南,混合结构,精装,一梯两户,无,2022-10-15,商品房,2022-10-20,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202008143302030022,,,,,海曙区,段塘,高楼层,7,3,1,1,1,15.15,7.575,0.25,0.25,5,2,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.5761187237542957
140万,18359元/平米,北路一村,海曙区 石碶,3室1厅1厨1卫,中楼层 (共7层),76.26㎡,平层,,板楼,南,混合结构,简装,一梯两户,无,2022-12-02,商品房,2022-12-02,普通住宅,未满两年,非共有,有抵押,已上传房本照片,202212023302030038,,,,,海曙区,石碶,中楼层,7,3,1,1,1,19.065,9.5325,0.25,0.25,5,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.6835306892000119
145万,9249元/平米,雷峰新村,海曙区 横街,3室2厅1厨2卫,高楼层 (共5层),156.79㎡,复式,,板楼,南,钢混结构,精装,一梯两户,无,2023-02-15,商品房,2022-02-15,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202302153302030023,,,,,海曙区,横街,高楼层,5,3,2,1,2,39.1975,26.131666666666664,0.5,0.5,7,0,3,2048187.9432624113,1840000.0,968698.6620355729,564,0.7079424995285837
74万,9781元/平米,港城嘉苑,北仑区 戚家山,3室1厅1厨1卫,中楼层 (共5层),75.66㎡,平层,,板塔结合,南,混合结构,精装,一梯十八户,无,2023-07-30,商品房,2023-07-30,普通住宅,未满两年,非共有,无抵押,已上传房本照片,2023103273302060022,,,,,北仑区,戚家山,中楼层,5,3,1,1,1,18.915,12.61,0.25,0.25,5,0,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.39458973776811895
219万,23493元/平米,印象巴黎,海曙区 集士港,3室1厅1厨1卫,高楼层 (共11层),93.22㎡,平层,,板楼,南,钢混结构,精装,一梯两户,有,2023-08-23,商品房,2023-08-24,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202203273302030026,,,,,海曙区,集士港,高楼层,11,3,1,1,1,23.305,7.7683333333333335,0.25,0.25,5,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.069237292391447
230万,23282元/平米,万达华府东区,鄞州区 钟公庙,2室1厅1厨1卫,中楼层 (共32层),98.79㎡,平层,78.00㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2023-09-29,商品房,2023-09-30,普通住宅,未满两年,非共有,有抵押 130万元 业主自还,已上传房本照片,20230930330212006368001A,,,,,鄞州区,钟公庙,中楼层,32,2,1,1,1,32.93,2.9936363636363637,0.3333333333333333,0.3333333333333333,4,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8481551922109589
114万,10913元/平米,未来风景里,奉化区 奉化区,3室1厅1厨2卫,高楼层 (共9层),104.47㎡,平层,,板楼,南 北,框架结构,毛坯,一梯两户,有,2023-10-17,商品房,2023-10-17,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202310173302830007,,,,,奉化区,奉化区,高楼层,9,3,1,1,2,26.1175,10.447,0.25,0.5,6,0,2,1278558.8235294118,1290000.0,384450.8928659952,68,0.8916282046569216
107万,17390元/平米,关爱小区-南区,海曙区 高桥,2室1厅1厨1卫,低楼层 (共6层),61.53㎡,平层,,板楼,南,混合结构,简装,一梯两户,无,2023-09-27,拆迁安置房,2023-09-25,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202305063302030033,,,,,海曙区,高桥,低楼层,6,2,1,1,1,20.51,8.790000000000001,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.5224127410314376
79万,14430元/平米,青林嘉园,北仑区 大碶,1室1厅1厨1卫,中楼层 (共5层),54.75㎡,平层,,塔楼,南,钢混结构,简装,一梯八十户,有,2023-09-30,商品房,2023-10-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,202109093302060030,,,,,北仑区,大碶,中楼层,5,1,1,1,1,27.375,9.125,0.5,0.5,3,1,0,1875364.5484949832,1800000.0,855438.6591359673,299,0.4212512065362351
151万,33356元/平米,国医双拥小区,海曙区 天一广场,2室1厅1厨1卫,中楼层 (共8层),45.27㎡,平层,,板楼,南,混合结构,其他,一梯三户,无,2023-09-01,商品房,2019-09-03,普通住宅,暂无数据,共有,有抵押,已上传房本照片,202309033302030014,,,,,海曙区,天一广场,中楼层,8,2,1,1,1,15.090000000000002,5.03,0.3333333333333333,0.3333333333333333,4,3,0,2048187.9432624113,1840000.0,968698.6620355729,564,0.7372366719228699
212万,27041元/平米,锦诚明都,鄞州区 新明,2室1厅1厨1卫,中楼层 (共7层),78.40㎡,平层,,板楼,南,钢混结构,精装,一梯两户,无,2023-09-10,商品房,2018-08-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202202083302120093,,,,,鄞州区,新明,中楼层,7,2,1,1,1,26.133333333333336,9.8,0.3333333333333333,0.3333333333333333,4,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7817778293422751
235万,27326元/平米,莘香雅苑,鄞州区 东部新城,3室2厅1厨1卫,低楼层 (共9层),86.00㎡,平层,,板塔结合,南,钢混结构,精装,一梯两户,有,2022-08-24,商品房,2018-08-10,普通住宅,暂无数据,共有,有抵押 50万元,已上传房本照片,202208243302120053,,,,,鄞州区,东部新城,低楼层,9,3,2,1,1,21.5,8.6,0.5,0.25,6,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8665933485633711
210万,23872元/平米,银珠明园南区,鄞州区 新明,2室1厅1厨1卫,中楼层 (共27层),87.97㎡,平层,68.98㎡,板楼,南,钢混结构,精装,两梯三户,有,2023-03-15,拆迁安置房,2012-01-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230723332121015361,,,,,鄞州区,新明,中楼层,27,2,1,1,1,29.323333333333334,3.141785714285714,0.3333333333333333,0.3333333333333333,4,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7744025668013104
45万,17778元/平米,江南绿洲,海曙区 石碶,1室1厅1厨1卫,中楼层 (共5层),25.20㎡,平层,,板楼,西北,钢混结构,简装,一梯二十户,无,2023-07-01,商品房,2018-07-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202307013302030028,,,,,海曙区,石碶,中楼层,5,1,1,1,1,12.6,4.2,0.5,0.5,3,1,0,2048187.9432624113,1840000.0,968698.6620355729,564,0.2187298205440038
89万,19665元/平米,芝兰新城,鄞州区 长丰,1室1厅1厨1卫,高楼层 (共18层),45.26㎡,平层,,板楼,北,钢混结构,精装,两梯十四户,有,2021-04-05,商品房,2019-07-15,普通住宅,暂无数据,共有,有抵押 50万元 农业银行 业主自还,已上传房本照片,202107203302120045,,,,,鄞州区,长丰,高楼层,18,1,1,1,1,22.63,2.3821052631578947,0.5,0.5,3,2,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.3281991830729363
145万,24635元/平米,胜丰社区,海曙区 西门,2室2厅1厨1卫,中楼层 (共8层),58.86㎡,平层,51.18㎡,板楼,南,砖混结构,其他,一梯两户,无,2023-09-01,商品房,2015-01-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309013302030044,,,,,海曙区,西门,中楼层,8,2,2,1,1,19.62,6.54,0.6666666666666666,0.3333333333333333,5,2,0,2048187.9432624113,1840000.0,968698.6620355729,564,0.7079424995285837
117万,16385元/平米,星河晨光A区,鄞州区 潘火,2室1厅1厨1卫,高楼层 (共32层),71.41㎡,平层,,塔楼,南,钢混结构,精装,三梯十户,有,2021-08-15,商品房,2017-11-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202108163302120017,,,,,鄞州区,潘火,高楼层,32,2,1,1,1,23.80333333333333,2.163939393939394,0.3333333333333333,0.3333333333333333,4,1,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.43145285864644434
125万,18077元/平米,汇嘉新园北区,江北区 洪塘,2室1厅1厨1卫,中楼层 (共18层),69.15㎡,平层,53.06㎡,板楼,南,钢混结构,简装,两梯四户,有,2023-08-14,商品房,2011-05-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202010313302050012,,,,,江北区,洪塘,中楼层,18,2,1,1,1,23.05,3.6394736842105266,0.3333333333333333,0.3333333333333333,4,1,1,2374983.935742972,2080000.0,1266402.7666910856,249,0.5263191278343665
175万,18517元/平米,清泉花园,镇海区 庄市,2室2厅1厨1卫,低楼层 (共7层),94.51㎡,平层,85.47㎡,板塔结合,南 北,钢混结构,精装,一梯两户,无,2023-06-19,商品房,2014-06-19,普通住宅,满五年,共有,有抵押 40万元 业主自还,已上传房本照片,202306193302110017,,,,,镇海区,庄市,低楼层,7,2,2,1,1,31.503333333333334,11.81375,0.6666666666666666,0.3333333333333333,5,1,2,2173067.729083665,1990000.0,977382.160362272,251,0.8053127710958025
36万,11293元/平米,和美城,鄞州区 新明,1室1厅1厨1卫,中楼层 (共34层),31.88㎡,平层,23.88㎡,板楼,北,钢混结构,其他,三梯十二户,有,2023-08-29,商品房,2014-04-30,商住两用,暂无数据,非共有,有抵押,已上传房本照片,202308253302120050,民水,民电,2.95元/m3,,鄞州区,新明,中楼层,34,1,1,1,1,15.94,0.9108571428571428,0.5,0.5,3,0,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.1327547257373675
99万,23971元/平米,江南一品,鄞州区 新明,1室1厅1厨1卫,中楼层 (共29层),41.30㎡,平层,,塔楼,东北,钢混结构,其他,两梯十二户,有,2023-02-18,商品房,2020-03-14,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202303143302120155,,,,,鄞州区,新明,中楼层,29,1,1,1,1,20.65,1.3766666666666665,0.5,0.5,3,2,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.3650754957777606
228万,23664元/平米,天沁家园,江北区 江北万达,2室2厅1厨1卫,中楼层 (共17层),96.35㎡,平层,76.46㎡,板楼,南,钢混结构,精装,两梯三户,有,2023-08-14,商品房,2019-08-14,普通住宅,暂无数据,共有,有抵押,已上传房本照片,202308143302050004,,,,,江北区,江北万达,中楼层,17,2,2,1,1,32.11666666666667,5.352777777777778,0.6666666666666666,0.3333333333333333,5,2,2,2374983.935742972,2080000.0,1266402.7666910856,249,0.9600060891698845
140万,24222元/平米,文化家园一期,海曙区 南门,2室1厅1厨1卫,高楼层 (共7层),57.80㎡,平层,,板楼,南 北,钢混结构,精装,一梯两户,无,2022-09-05,商品房,2018-09-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202203033302030051,,,,,海曙区,南门,高楼层,7,2,1,1,1,19.266666666666666,7.225,0.3333333333333333,0.3333333333333333,4,2,0,2048187.9432624113,1840000.0,968698.6620355729,564,0.6835306892000119
219万,24119元/平米,光明领尚,北仑区 大碶,2室1厅1厨1卫,中楼层 (共31层),90.80㎡,平层,,板楼,南,钢混结构,其他,两梯三户,有,2023-09-07,商品房,2019-11-15,普通住宅,满两年,共有,无抵押,已上传房本照片,202309043302060025,,,,,北仑区,大碶,中楼层,31,2,1,1,1,30.266666666666666,2.8375,0.3333333333333333,0.3333333333333333,4,2,1,1875364.5484949832,1800000.0,855438.6591359673,299,1.1677723320434872
128万,22607元/平米,万金人家,鄞州区 东钱湖,2室1厅1厨1卫,中楼层 (共6层),56.62㎡,平层,,板楼,南,砖混结构,精装,一梯两户,无,2023-09-02,拆迁安置房,2020-09-02,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,202309053302120005,,,,,鄞州区,东钱湖,中楼层,6,2,1,1,1,18.87333333333333,8.088571428571429,0.3333333333333333,0.3333333333333333,4,2,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.47201680262175105
