总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型
335万,26040元/平米,瀚宁府,镇海区 庄市,4室2厅1厨2卫,高楼层 (共18层),128.65㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,暂无数据,2023-02-15,商品房,2020-11-10,普通住宅,暂无数据,共有,有抵押 80万元 兴业银行宁波市分行 业主自还,已上传房本照片,202302173302110019,None,None,None,None
172万,15358元/平米,大同新村,北仑区 新碶 ,3室1厅1厨1卫,低楼层 (共10层),112㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2023-10-08,商品房,2020-07-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202211243302060059,None,None,None,None
128万,15913元/平米,蒲家兰庭,海曙区 高桥 ,2室1厅1厨1卫,高楼层 (共11层),80.44㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯六户,有,2023-10-14,拆迁安置房,2017-06-17,普通住宅,满五年,非共有,有抵押 50万元,已上传房本照片,202304023302030049,None,None,None,None
365万,26258元/平米,中海国际社区五期,鄞州区 下应 ,4室2厅1厨2卫,高楼层 (共33层),139.01㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯四户,有,2023-10-07,商品房,2017-10-07,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,20205303302120040,None,None,None,None
398万,33684元/平米,融创东投悦之湾,鄞州区 高新区 ,3室1厅1厨2卫,高楼层 (共18层),118.16㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2023-10-06,商品房,2019-02-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310073302120094,None,None,None,None
182万,18230元/平米,裕和佳苑,鄞州区 姜山 ,3室2厅1厨1卫,高楼层 (共18层),99.84㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,暂无数据,2023-10-15,拆迁安置房,2020-07-10,普通住宅,满两年,共有,无抵押,已上传房本照片,202310183302120137,None,None,None,None
156万,17638元/平米,誉湖湾花苑,北仑区 小港 ,3室2厅1厨1卫,低楼层 (共22层),88.45㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯四户,暂无数据,2023-10-10,商品房,2020-09-15,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202310143302060007,None,None,None,None
59万,6476元/平米,白鹭园,杭州湾新区 杭州湾新区 ,2室2厅1厨1卫,中楼层 (共33层),91.11㎡,平层,70.91㎡,板楼,南,钢混结构,简装,两梯三户,有,2023-10-09,商品房,2014-03-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20231010330282010009,None,None,None,None
122万,15075元/平米,龙星家园,鄞州区 云龙 ,2室2厅1厨1卫,低楼层 (共18层),80.93㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯四户,暂无数据,2023-10-17,拆迁安置房,2020-09-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,20231017330212006573001A,None,None,None,None
74万,6395元/平米,天怡湾花苑,杭州湾新区 杭州湾新区 ,3室2厅1厨2卫,低楼层 (共24层),115.73㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,一梯四户,暂无数据,2023-10-08,商品房,2021-03-17,普通住宅,暂无数据,非共有,有抵押 50万元 中国银行 业主自还,已上传房本照片,20231011330282010013,None,None,None,None
378万,31835元/平米,翰林甲第北苑,镇海区 庄市 ,3室2厅1厨2卫,中楼层 (共8层),118.74㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-13,商品房,2020-10-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310143302110016,None,None,None,None
225万,27440元/平米,蔚蓝城市花园,镇海区 庄市 ,3室2厅1厨1卫,高楼层 (共19层),82㎡,平层,62㎡,暂无数据,南,钢混结构,精装,一梯四户,有,2023-10-13,商品房,2020-09-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310163302110046,None,None,None,None
128万,13461元/平米,浃江小区山清轩,北仑区 小港 ,2室2厅1厨1卫,高楼层 (共16层),95.09㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,2023-10-11,商品房,2017-11-17,普通住宅,满五年,共有,有抵押 16万元,已上传房本照片,202211233302060032,None,None,None,None
122万,21111元/平米,都市华庭,鄞州区 姜山 ,2室1厅1厨1卫,低楼层 (共18层),57.79㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯八户,有,2023-10-17,商品房,2019-01-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,202208123302120007,None,None,None,None
105万,21844元/平米,联丰北区,海曙区 白云 ,2室1厅1厨1卫,中楼层 (共7层),48.07㎡,平层,41.8㎡,板塔结合,南,钢混结构,精装,一梯两户,无,2023-10-18,商品房,2011-03-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202310163302030017,None,None,None,None
145万,8618元/平米,嘉悦紫园,余姚市 余姚周边 ,4室2厅1厨2卫,中楼层 (共16层),168.27㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2023-10-16,商品房,2020-01-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310163302810014,None,None,None,None
66万,14538元/平米,学府一号,鄞州区 南部商务区 ,3室1厅1厨1卫,低楼层 (共14层),45.4㎡,跃层,暂无数据,板楼,西,钢混结构,精装,四梯二十四户,有,2023-10-15,商品房,2018-10-11,商住两用,暂无数据,非共有,有抵押 30万元 鄞州银行,已上传房本照片,202310123302120028,None,None,None,None
376万,26239元/平米,北岸琴森,江北区 中马 ,3室1厅1厨2卫,高楼层 (共12层),143.3㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2023-10-14,商品房,2020-06-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202206213302050001,民水,民电,None,None
209万,21774元/平米,印象巴黎,海曙区 集士港 ,3室2厅1厨1卫,低楼层 (共11层),95.99㎡,平层,79.42㎡,板楼,南 北,钢混结构,精装,一梯两户,无,2023-10-09,商品房,2016-10-06,普通住宅,满五年,共有,有抵押 30万元 业主自还,已上传房本照片,202008213302030009,None,None,None,None
290万,27338元/平米,咏柳苑(杨柳郡二期）,鄞州区 邱隘 ,3室2厅1厨2卫,高楼层 (共30层),106.08㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-17,商品房,2020-04-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,202103053302120156,None,None,None,None
183万,15554元/平米,水岸阳光,海曙区 集士港 ,3室2厅1厨2卫,低楼层 (共8层),117.66㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-10-12,商品房,2018-07-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2023100733020330051,None,None,None,None
138万,12504元/平米,明城港湾,海曙区 集士港 ,3室1厅1厨2卫,中楼层 (共6层),110.37㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,2023-10-17,拆迁安置房,2019-02-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202105253302030049,None,None,None,None
270万,23932元/平米,左岸尚苑,海曙区 石碶 ,3室2厅1厨2卫,中楼层 (共11层),112.82㎡,平层,94.6㎡,板楼,东南,钢混结构,精装,一梯两户,有,2023-09-22,商品房,2015-10-13,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,202309223302030045,None,None,None,None
340万,30606元/平米,雅戈尔一号花苑,海曙区 石碶 ,3室2厅1厨2卫,高楼层 (共15层),111.09㎡,平层,暂无数据,暂无数据,东南,未知结构,精装,一梯六户,暂无数据,2023-10-02,商品房,2021-09-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,202310023302030006,None,None,None,None
315万,24315元/平米,同心苑(鄞州大道),鄞州区 南部商务区 ,3室2厅1厨2卫,中楼层 (共11层),129.55㎡,平层,111.08㎡,板塔结合,南,钢混结构,精装,一梯两户,有,2023-09-23,商品房,2013-06-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309233302120054,None,None,None,None
162万,18227元/平米,东方城香梅家园北区,海曙区 石碶 ,2室2厅1厨1卫,高楼层 (共6层),88.88㎡,平层,88.88㎡,板楼,南,混合结构,精装,一梯两户,无,2023-09-22,商品房,2004-02-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309243302030016,None,None,None,None
245万,19747元/平米,万科金色城市一期,海曙区 集士港 ,3室2厅1厨1卫,高楼层 (共15层),124.07㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2023-09-26,商品房,2012-09-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309263302030029,None,None,None,None
272万,22308元/平米,东方丽都,鄞州区 潘火 ,3室2厅1厨2卫,高楼层 (共26层),121.93㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2023-09-25,拆迁安置房,2019-07-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202305023302120005,None,None,None,None
420万,31116元/平米,美的明州院子,鄞州区 首南 ,4室2厅1厨2卫,中楼层 (共15层),134.98㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2022-05-03,商品房,2020-11-03,普通住宅,暂无数据,非共有,有抵押 380万元,已上传房本照片,202211273302120037,None,None,None,None
469万,33756元/平米,北宸府,海曙区 段塘 ,4室2厅1厨3卫,高楼层 (共32层),138.94㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-04-19,商品房,2016-07-05,普通住宅,暂无数据,非共有,有抵押 400万元,已上传房本照片,202305073302030034,None,None,None,None
480万,23791元/平米,南苑国际,鄞州区 中河 ,4室2厅1厨2卫,中楼层 (共22层),201.76㎡,平层,暂无数据,板楼,南,钢混结构,精装,四梯六户,有,2020-09-04,商品房,2011-01-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202009283302120155,None,None,None,None
210万,16696元/平米,东桂新苑,镇海区 骆驼 ,3室1厅1厨2卫,中楼层 (共18层),125.78㎡,平层,暂无数据,板楼,南 北,砖木结构,毛坯,两梯两户,有,2023-05-06,商品房,2021-07-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,02307023302110014,None,None,None,None
420万,30457元/平米,万科东晟府,鄞州区 高新区 ,4室2厅1厨2卫,低楼层 (共32层),137.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,2021-05-11,商品房,2021-05-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,202008173302120165,None,None,None,None
458万,38343元/平米,风格城事,鄞州区 中河 ,3室2厅1厨2卫,低楼层 (共18层),119.45㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,2023-09-27,商品房,2010-12-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202210143302120083,None,None,None,None
88万,15428元/平米,蔚斗新村新堰头,北仑区 戚家山 ,2室1厅1厨1卫,中楼层 (共5层),57.04㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯两户,无,2023-09-19,商品房,2020-08-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202209083302060014,None,None,None,None
527万,38493元/平米,青秀澜湾,江北区 甬江 ,4室2厅1厨2卫,高楼层 (共8层),136.91㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,暂无数据,2023-10-02,商品房,2021-09-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,2231002330250008,None,None,None,None
198万,15660元/平米,宁大花园,镇海区 庄市 ,3室2厅1厨2卫,中楼层 (共7层),126.44㎡,平层,116.15㎡,板楼,南,框架结构,精装,一梯两户,无,2023-10-03,商品房,2014-05-13,普通住宅,满五年,共有,无抵押,已上传房本照片,202310033302110004,None,None,None,None
319万,35981元/平米,金地悦江来,鄞州区 长丰 ,3室2厅1厨1卫,低楼层 (共28层),88.66㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2023-09-26,商品房,2018-09-01,普通住宅,暂无数据,共有,有抵押 70万元 业主自还,已上传房本照片,202009083302120077,None,None,None,None
365万,28302元/平米,望庐花苑,海曙区 高桥 ,4室2厅1厨2卫,低楼层 (共8层),128.97㎡,平层,暂无数据,板塔结合,南,混合结构,精装,一梯两户,有,2023-09-22,商品房,2020-10-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310103302030009,None,None,None,None
162万,17818元/平米,银亿海悦花苑,镇海区 骆驼 ,3室2厅1厨1卫,高楼层 (共18层),90.92㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,2023-10-04,商品房,2017-01-09,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,202310053302110005,None,None,None,None
255万,23763元/平米,宁波新城吾悦广场,镇海区 骆驼 ,3室2厅1厨2卫,中楼层 (共21层),107.31㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,2023-09-27,商品房,2018-05-04,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,202309273302110052,None,None,None,None
246万,26586元/平米,高塘花园,海曙区 高塘 ,3室1厅1厨1卫,低楼层 (共7层),92.53㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2023-09-30,商品房,2016-07-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202203153302030038,None,None,None,None
60万,6130元/平米,天怡湾花苑,杭州湾新区 杭州湾新区 ,3室2厅1厨1卫,高楼层 (共29层),97.89㎡,平层,74.69㎡,板楼,南,混合结构,毛坯,一梯四户,暂无数据,2023-09-27,商品房,2021-05-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20231010330282010003,None,None,None,None
161万,12337元/平米,绿地海湾丽海苑,杭州湾新区 杭州湾新区 ,4室2厅1厨2卫,高楼层 (共6层),130.51㎡,复式,暂无数据,暂无数据,南,未知结构,毛坯,一梯两户,暂无数据,2023-10-03,商品房,2021-06-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,202365771269984568,None,None,None,None
81.5万,8081元/平米,江岚苑,杭州湾新区 杭州湾新区 ,3室2厅1厨1卫,低楼层 (共33层),100.86㎡,平层,86㎡,板楼,南,钢混结构,精装,两梯四户,有,2023-10-03,商品房,2018-09-20,普通住宅,暂无数据,非共有,有抵押 客户偿还,已上传房本照片,20231011330282010005,None,None,None,None
335万,26034元/平米,吾悦广场三期,镇海区 骆驼 ,3室2厅1厨2卫,高楼层 (共23层),128.68㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2023-09-24,商品房,2019-08-26,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,34884846405050,None,None,None,None
79万,10431元/平米,龙湖昱湖壹号苑,慈溪市 龙山 ,3室2厅1厨1卫,中楼层 (共10层),75.74㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2023-09-25,商品房,2021-09-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202212283302820005,None,None,None,None
176万,22748元/平米,东莺新村,鄞州区 潘火 ,2室2厅1厨1卫,低楼层 (共6层),77.37㎡,平层,68.1㎡,板楼,南,钢混结构,精装,一梯两户,无,2023-09-22,商品房,2013-09-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,202309223302120032,None,None,None,None
90万,8315元/平米,江岚苑,杭州湾新区 杭州湾新区 ,3室2厅1厨2卫,中楼层 (共33层),108.24㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2023-10-04,商品房,2016-10-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230928330282010004,None,None,None,None
272.8万,29074元/平米,印象外滩,鄞州区 钟公庙 ,4室0厅1厨3卫,低楼层 (共26层),93.83㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,2023-10-01,商品房,2014-08-18,普通住宅,暂无数据,非共有,有抵押 55万元 业主自还,已上传房本照片,202103213302120098,None,None,None,None
280万,23849元/平米,慧江苑,鄞州区 长丰 ,3室2厅1厨2卫,高楼层 (共24层),117.41㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯六户,有,2023-10-03,拆迁安置房,2019-10-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,201908043302120047,None,None,None,None
235万,21403元/平米,天逸湾二期,海曙区 高桥 ,3室2厅1厨2卫,低楼层 (共18层),109.8㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,一梯两户,有,2023-09-28,商品房,2020-09-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202309303302030009,None,None,None,None
226万,21193元/平米,绿城·桂花园,镇海区 骆驼 ,2室1厅1厨1卫,低楼层 (共11层),106.64㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,有,2023-10-14,商品房,2019-05-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,201905223302110011,None,None,None,None
135万,23232元/平米,君睿名苑,鄞州区 下应 ,1室1厅1厨1卫,高楼层 (共24层),58.11㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,2023-10-15,商品房,2019-06-01,普通住宅,满两年,共有,有抵押 112万元,已上传房本照片,202306013302120089,None,None,None,None
185万,25720元/平米,明楼东区,鄞州区 明楼 ,3室1厅1厨1卫,中楼层 (共8层),71.93㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2023-10-12,商品房,1998-09-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202310123302120091,None,None,None,None
215万,29465元/平米,国医双拥小区,海曙区 天一广场 ,2室2厅1厨1卫,高楼层 (共6层),72.97㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无,2023-10-18,商品房,2021-07-07,普通住宅,满两年,非共有,有抵押,已上传房本照片,202304273302030069,None,None,None,None
37.9万,8028元/平米,嘉华大厦,鄞州区 首南 ,1室1厅1厨1卫,中楼层 (共18层),47.21㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯二十四户,有,2023-10-16,商品房,2021-02-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,202301073302120018,None,None,None,None
124万,19151元/平米,卖面桥小区徐家新村,海曙区 集士港 ,2室1厅1厨1卫,低楼层 (共10层),64.75㎡,平层,54.85㎡,塔楼,南,钢混结构,其他,一梯四户,有,2023-10-08,拆迁安置房,2019-10-11,普通住宅,满两年,共有,有抵押 70万元 业主自还,已上传房本照片,202310083302030028,None,None,None,None
